Organ_system	Subcategory	ICD10Code	ICD10Description
cancer		C84.94	Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb
cancer		C84.95	Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb
cancer		C84.97	Mature T/NK-cell lymphomas, unspecified, spleen
cancer		C84.98	Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites
cancer		C84.99	Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites
cancer		C84.A0	Cutaneous T-cell lymphoma, unspecified, unspecified site
cancer		C84.A1	Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck
cancer		C84.A2	Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes
cancer		C84.A3	Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes
cancer		C84.A4	Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb
cancer		C84.A5	Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb
cancer		C84.A6	Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes
cancer		C84.A7	Cutaneous T-cell lymphoma, unspecified, spleen
cancer		C84.A8	Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites
cancer		C84.A9	Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites
cancer		C84.Z0	Other mature T/NK-cell lymphomas, unspecified site
cancer		C84.Z1	Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck
cancer		C84.Z2	Other mature T/NK-cell lymphomas, intrathoracic lymph nodes
cancer		C84.Z3	Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes
cancer		C84.Z4	Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb
cancer		C84.Z5	Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb
cancer		C84.Z7	Other mature T/NK-cell lymphomas, spleen
cancer		C84.Z8	Other mature T/NK-cell lymphomas, lymph nodes of multiple sites
cancer		C84.Z9	Other mature T/NK-cell lymphomas, extranodal and solid organ sites
cancer		C85.10	Unspecified B-cell lymphoma, unspecified site
cancer		C85.11	Unspecified B-cell lymphoma, lymph nodes of head, face, and neck
cancer		C85.12	Unspecified B-cell lymphoma, intrathoracic lymph nodes
cancer		C85.13	Unspecified B-cell lymphoma, intra-abdominal lymph nodes
cancer		C85.14	Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb
cancer		C85.15	Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb
cancer		C85.16	Unspecified B-cell lymphoma, intrapelvic lymph nodes
cancer		C85.17	Unspecified B-cell lymphoma, spleen
cancer		C85.18	Unspecified B-cell lymphoma, lymph nodes of multiple sites
cancer		C85.19	Unspecified B-cell lymphoma, extranodal and solid organ sites
cancer		C85.20	Mediastinal (thymic) large B-cell lymphoma, unspecified site
cancer		C85.21	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck
cancer		C85.22	Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes
cancer		C85.23	Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes
cancer		C85.24	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb
cancer		C85.25	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb
cancer		C85.26	Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes
cancer		C85.27	Mediastinal (thymic) large B-cell lymphoma, spleen
cancer		C85.28	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites
cancer		C85.29	Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites
cancer		C85.80	Other specified types of non-Hodgkin lymphoma, unspecified site
cancer		C85.81	Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck
cancer		C85.82	Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes
cancer		C85.83	Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes
cancer		C85.84	Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb
cancer		C85.85	Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
cancer		C85.86	Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes
cancer		C85.87	Other specified types of non-Hodgkin lymphoma, spleen
cancer		C85.88	Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites
cancer		C85.89	Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites
cancer		C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site
cancer		C85.91	Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck
cancer		C85.92	Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes
cancer		C85.93	Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes
cancer		C85.94	Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb
cancer		C85.95	Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb
cancer		C85.96	Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes
cancer		C85.97	Non-Hodgkin lymphoma, unspecified, spleen
cancer		C85.98	Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites
cancer		C85.99	Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites
cancer		C86.0	Extranodal NK/T-cell lymphoma, nasal type
cancer		C86.1	Hepatosplenic T-cell lymphoma
cancer		C86.2	Enteropathy-type (intestinal) T-cell lymphoma
cancer		C86.3	Subcutaneous panniculitis-like T-cell lymphoma
cancer		C86.4	Blastic NK-cell lymphoma
cancer		C86.5	Angioimmunoblastic T-cell lymphoma
cancer		C86.6	Primary cutaneous CD30-positive T-cell proliferations
cancer		C88.0	Waldenstrom macroglobulinemia
cancer		C88.2	Heavy chain disease
cancer		C88.3	Immunoproliferative small intestinal disease
cancer		C88.4	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
cancer		C88.8	Other malignant immunoproliferative diseases
cancer		C88.9	Malignant immunoproliferative disease, unspecified
cancer		C90.00	Multiple myeloma not having achieved remission
cancer		C90.01	Multiple myeloma in remission
cancer		C90.02	Multiple myeloma in relapse
cancer		C90.10	Plasma cell leukemia not having achieved remission
cancer		C90.11	Plasma cell leukemia in remission
cancer		C90.12	Plasma cell leukemia in relapse
cancer		C90.20	Extramedullary plasmacytoma not having achieved remission
cancer		C90.21	Extramedullary plasmacytoma in remission
cancer		C90.22	Extramedullary plasmacytoma in relapse
cancer		C90.30	Solitary plasmacytoma not having achieved remission
cancer		C90.31	Solitary plasmacytoma in remission
cancer		C90.32	Solitary plasmacytoma in relapse
cancer		C91.00	Acute lymphoblastic leukemia not having achieved remission
cancer		C91.01	Acute lymphoblastic leukemia, in remission
cancer		C91.02	Acute lymphoblastic leukemia, in relapse
cancer		C91.10	Chronic lymphocytic leukemia of B-cell type not having achieved remission
cancer		C91.11	Chronic lymphocytic leukemia of B-cell type in remission
cancer		C91.12	Chronic lymphocytic leukemia of B-cell type in relapse
cancer		C91.30	Prolymphocytic leukemia of B-cell type not having achieved remission
cancer		C91.31	Prolymphocytic leukemia of B-cell type, in remission
cancer		C91.32	Prolymphocytic leukemia of B-cell type, in relapse
cancer		C91.40	Hairy cell leukemia not having achieved remission
cancer		C91.41	Hairy cell leukemia, in remission
cancer		C91.42	Hairy cell leukemia, in relapse
cancer		C91.50	Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission
cancer		C91.51	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission
cancer		C91.52	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse
cancer		C91.60	Prolymphocytic leukemia of T-cell type not having achieved remission
cancer		C91.61	Prolymphocytic leukemia of T-cell type, in remission
cancer		C91.62	Prolymphocytic leukemia of T-cell type, in relapse
cancer		C91.90	Lymphoid leukemia, unspecified not having achieved remission
cancer		C91.91	Lymphoid leukemia, unspecified, in remission
cancer		C91.92	Lymphoid leukemia, unspecified, in relapse
cancer		C91.A0	Mature B-cell leukemia Burkitt-type not having achieved remission
cancer		C91.A1	Mature B-cell leukemia Burkitt-type, in remission
cancer		C91.A2	Mature B-cell leukemia Burkitt-type, in relapse
cancer		C91.Z0	Other lymphoid leukemia not having achieved remission
cancer		C91.Z1	Other lymphoid leukemia, in remission
cancer		C91.Z2	Other lymphoid leukemia, in relapse
cancer		C92.00	Acute myeloblastic leukemia, not having achieved remission
cancer		C92.01	Acute myeloblastic leukemia, in remission
cancer		C92.02	Acute myeloblastic leukemia, in relapse
cancer		C92.10	Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission
cancer		C92.11	Chronic myeloid leukemia, BCR/ABL-positive, in remission
cancer		C92.12	Chronic myeloid leukemia, BCR/ABL-positive, in relapse
cancer		C92.20	Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission
cancer		C92.21	Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission
cancer		C92.22	Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse
cancer		C92.30	Myeloid sarcoma, not having achieved remission
cancer		C92.31	Myeloid sarcoma, in remission
cancer		C92.32	Myeloid sarcoma, in relapse
cancer		C92.40	Acute promyelocytic leukemia, not having achieved remission
cancer		C92.41	Acute promyelocytic leukemia, in remission
cancer		C92.42	Acute promyelocytic leukemia, in relapse
cancer		C92.50	Acute myelomonocytic leukemia, not having achieved remission
cancer		C92.51	Acute myelomonocytic leukemia, in remission
cancer		C92.52	Acute myelomonocytic leukemia, in relapse
cancer		C92.60	Acute myeloid leukemia with 11q23-abnormality not having achieved remission
cancer		C92.61	Acute myeloid leukemia with 11q23-abnormality in remission
cancer		C92.62	Acute myeloid leukemia with 11q23-abnormality in relapse
cancer		C92.90	Myeloid leukemia, unspecified, not having achieved remission
cancer		C92.91	Myeloid leukemia, unspecified in remission
cancer		C92.92	Myeloid leukemia, unspecified in relapse
cancer		C92.A0	Acute myeloid leukemia with multilineage dysplasia, not having achieved remission
cancer		C92.A1	Acute myeloid leukemia with multilineage dysplasia, in remission
cancer		C92.A2	Acute myeloid leukemia with multilineage dysplasia, in relapse
cancer		C92.Z0	Other myeloid leukemia not having achieved remission
cancer		C92.Z1	Other myeloid leukemia, in remission
cancer		C92.Z2	Other myeloid leukemia, in relapse
cancer		C93.00	Acute monoblastic/monocytic leukemia, not having achieved remission
cancer		C93.01	Acute monoblastic/monocytic leukemia, in remission
cancer		C93.02	Acute monoblastic/monocytic leukemia, in relapse
cancer		C93.10	Chronic myelomonocytic leukemia not having achieved remission
cancer		C93.11	Chronic myelomonocytic leukemia, in remission
cancer		C93.12	Chronic myelomonocytic leukemia, in relapse
cancer		C93.30	Juvenile myelomonocytic leukemia, not having achieved remission
cancer		C93.31	Juvenile myelomonocytic leukemia, in remission
cancer		C93.90	Monocytic leukemia, unspecified, not having achieved remission
cancer		C93.91	Monocytic leukemia, unspecified in remission
cancer		C93.92	Monocytic leukemia, unspecified in relapse
cancer		C93.Z0	Other monocytic leukemia, not having achieved remission
cancer		C93.Z1	Other monocytic leukemia, in remission
cancer		C93.Z2	Other monocytic leukemia, in relapse
cancer		C94.00	Acute erythroid leukemia, not having achieved remission
cancer		C94.01	Acute erythroid leukemia, in remission
cancer		C94.02	Acute erythroid leukemia, in relapse
cancer		C94.20	Acute megakaryoblastic leukemia not having achieved remission
cancer		C94.21	Acute megakaryoblastic leukemia, in remission
cancer		C94.22	Acute megakaryoblastic leukemia, in relapse
cancer		C94.30	Mast cell leukemia not having achieved remission
cancer		C94.31	Mast cell leukemia, in remission
cancer		C94.32	Mast cell leukemia, in relapse
cancer		C94.40	Acute panmyelosis with myelofibrosis not having achieved remission
cancer		C94.41	Acute panmyelosis with myelofibrosis, in remission
cancer		C94.42	Acute panmyelosis with myelofibrosis, in relapse
cancer		C94.6	Myelodysplastic disease, not elsewhere classified
cancer		C94.6	Myelodysplastic disease, not classified
cancer		C94.80	Other specified leukemias not having achieved remission
cancer		C94.81	Other specified leukemias, in remission
cancer		C94.82	Other specified leukemias, in relapse
cancer		C95.00	Acute leukemia of unspecified cell type not having achieved remission
cancer		C95.01	Acute leukemia of unspecified cell type, in remission
cancer		C95.02	Acute leukemia of unspecified cell type, in relapse
cancer		C95.10	Chronic leukemia of unspecified cell type not having achieved remission
cancer		C95.11	Chronic leukemia of unspecified cell type, in remission
cancer		C95.12	Chronic leukemia of unspecified cell type, in relapse
cancer		C95.90	Leukemia, unspecified not having achieved remission
cancer		C95.91	Leukemia, unspecified, in remission
cancer		C95.92	Leukemia, unspecified, in relapse
cancer		C96.0	Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis
cancer		C96.20	Malignant mast cell neoplasm, unspecified
cancer		C96.21	Aggressive systemic mastocytosis
cancer		C96.22	Mast cell sarcoma
cancer		C96.29	Other malignant mast cell neoplasm
cancer		C96.4	Sarcoma of dendritic cells (accessory cells)
cancer		C96.5	Multifocal and unisystemic Langerhans-cell histiocytosis
cancer		C96.6	Unifocal Langerhans-cell histiocytosis
cancer		C96.9	Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified
cancer		C96.A	Histiocytic sarcoma
cancer		C96.Z	Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue
cancer		D00.00	Carcinoma in situ of oral cavity, unspecified site
cancer		D00.01	Carcinoma in situ of labial mucosa and vermilion border
cancer		D00.02	Carcinoma in situ of buccal mucosa
cancer		D00.03	Carcinoma in situ of gingiva and edentulous alveolar ridge
cancer		D00.04	Carcinoma in situ of soft palate
cancer		D00.05	Carcinoma in situ of hard palate
cancer		D00.06	Carcinoma in situ of floor of mouth
cancer		D00.07	Carcinoma in situ of tongue
cancer		D00.08	Carcinoma in situ of pharynx
cancer		D00.1	Carcinoma in situ of esophagus
cancer		D00.2	Carcinoma in situ of stomach
cancer		D01.0	Carcinoma in situ of colon
cancer		D01.1	Carcinoma in situ of rectosigmoid junction
cancer		D01.2	Carcinoma in situ of rectum
cancer		D01.3	Carcinoma in situ of anus and anal canal
cancer		D01.40	Carcinoma in situ of unspecified part of intestine
cancer		D01.49	Carcinoma in situ of other parts of intestine
cancer		D01.5	Carcinoma in situ of liver, gallbladder and bile ducts
cancer		D01.7	Carcinoma in situ of other specified digestive organs
cancer		D01.9	Carcinoma in situ of digestive organ, unspecified
cancer		D02.0	Carcinoma in situ of larynx
cancer		D02.1	Carcinoma in situ of trachea
cancer		D02.20	Carcinoma in situ of unspecified bronchus and lung
cancer		D02.21	Carcinoma in situ of right bronchus and lung
cancer		D02.22	Carcinoma in situ of left bronchus and lung
cancer		D02.3	Carcinoma in situ of other parts of respiratory system
cancer		D02.4	Carcinoma in situ of respiratory system, unspecified
cancer		D03.0	Melanoma in situ of lip
cancer		D03.10	Melanoma in situ of unspecified eyelid, including canthus
cancer		D03.11	Melanoma in situ of right eyelid, including canthus
cancer		D03.111	Melanoma in situ of right upper eyelid, including canthus
cancer		D03.112	Melanoma in situ of right lower eyelid, including canthus
cancer		D03.12	Melanoma in situ of left eyelid, including canthus
cancer		D03.121	Melanoma in situ of left upper eyelid, including canthus
cancer		D03.122	Melanoma in situ of left lower eyelid, including canthus
cancer		D03.20	Melanoma in situ of unspecified ear and external auricular canal
cancer		D03.21	Melanoma in situ of right ear and external auricular canal
cancer		D03.22	Melanoma in situ of left ear and external auricular canal
cancer		D03.30	Melanoma in situ of unspecified part of face
cancer		D03.39	Melanoma in situ of other parts of face
cancer		D03.4	Melanoma in situ of scalp and neck
cancer		D03.51	Melanoma in situ of anal skin
cancer		D03.52	Melanoma in situ of breast (skin) (soft tissue)
cancer		D03.59	Melanoma in situ of other part of trunk
cancer		D03.60	Melanoma in situ of unspecified upper limb, including shoulder
cancer		D03.61	Melanoma in situ of right upper limb, including shoulder
cancer		D03.62	Melanoma in situ of left upper limb, including shoulder
cancer		D03.70	Melanoma in situ of unspecified lower limb, including hip
cancer		D03.71	Melanoma in situ of right lower limb, including hip
cancer		D03.72	Melanoma in situ of left lower limb, including hip
cancer		D03.8	Melanoma in situ of other sites
cancer		D03.9	Melanoma in situ, unspecified
cancer		D04.0	Carcinoma in situ of skin of lip
cancer		D04.10	Carcinoma in situ of skin of unspecified eyelid, including canthus
cancer		D04.11	Carcinoma in situ of skin of right eyelid, including canthus
cancer		D04.111	Carcinoma in situ of skin of right upper eyelid, including canthus
cancer		D04.112	Carcinoma in situ of skin of right lower eyelid, including canthus
cancer		D04.12	Carcinoma in situ of skin of left eyelid, including canthus
cancer		D04.121	Carcinoma in situ of skin of left upper eyelid, including canthus
cancer		D04.122	Carcinoma in situ of skin of left lower eyelid, including canthus
cancer		D04.20	Carcinoma in situ of skin of unspecified ear and external auricular canal
cancer		D04.21	Carcinoma in situ of skin of right ear and external auricular canal
cancer		D04.22	Carcinoma in situ of skin of left ear and external auricular canal
cancer		D04.30	Carcinoma in situ of skin of unspecified part of face
cancer		D04.39	Carcinoma in situ of skin of other parts of face
cancer		D04.4	Carcinoma in situ of skin of scalp and neck
cancer		D04.5	Carcinoma in situ of skin of trunk
cancer		D04.60	Carcinoma in situ of skin of unspecified upper limb, including shoulder
cancer		D04.61	Carcinoma in situ of skin of right upper limb, including shoulder
cancer		D04.62	Carcinoma in situ of skin of left upper limb, including shoulder
cancer		D04.70	Carcinoma in situ of skin of unspecified lower limb, including hip
cancer		D04.71	Carcinoma in situ of skin of right lower limb, including hip
cancer		D04.72	Carcinoma in situ of skin of left lower limb, including hip
cancer		D04.8	Carcinoma in situ of skin of other sites
cancer		D04.9	Carcinoma in situ of skin, unspecified
cancer		D05.00	Lobular carcinoma in situ of unspecified breast
cancer		D05.01	Lobular carcinoma in situ of right breast
cancer		D05.02	Lobular carcinoma in situ of left breast
cancer		D05.10	Intraductal carcinoma in situ of unspecified breast
cancer		D05.11	Intraductal carcinoma in situ of right breast
cancer		D05.12	Intraductal carcinoma in situ of left breast
cancer		D05.80	Other specified type of carcinoma in situ of unspecified breast
cancer		D05.81	Other specified type of carcinoma in situ of right breast
cancer		D05.82	Other specified type of carcinoma in situ of left breast
cancer		D05.90	Unspecified type of carcinoma in situ of unspecified breast
cancer		D05.91	Unspecified type of carcinoma in situ of right breast
cancer		D05.92	Unspecified type of carcinoma in situ of left breast
cancer		D06.0	Carcinoma in situ of endocervix
cancer		D06.1	Carcinoma in situ of exocervix
cancer		D06.7	Carcinoma in situ of other parts of cervix
cancer		D06.9	Carcinoma in situ of cervix, unspecified
cancer		D07.0	Carcinoma in situ of endometrium
cancer		D07.1	Carcinoma in situ of vulva
cancer		D07.2	Carcinoma in situ of vagina
cancer		D07.30	Carcinoma in situ of unspecified female genital organs
cancer		D07.39	Carcinoma in situ of other female genital organs
cancer		D07.4	Carcinoma in situ of penis
cancer		D07.5	Carcinoma in situ of prostate
cancer		D07.60	Carcinoma in situ of unspecified male genital organs
cancer		D07.61	Carcinoma in situ of scrotum
cancer		D07.69	Carcinoma in situ of other male genital organs
cancer		D09.0	Carcinoma in situ of bladder
cancer		D09.10	Carcinoma in situ of unspecified urinary organ
cancer		D09.19	Carcinoma in situ of other urinary organs
cancer		D09.20	Carcinoma in situ of unspecified eye
cancer		D09.21	Carcinoma in situ of right eye
cancer		D09.22	Carcinoma in situ of left eye
cancer		D09.3	Carcinoma in situ of thyroid and other endocrine glands
cancer		D09.8	Carcinoma in situ of other specified sites
cancer		D09.9	Carcinoma in situ, unspecified
cancer		D37.01	Neoplasm of uncertain behavior of lip
cancer		D37.02	Neoplasm of uncertain behavior of tongue
cancer		D37.030	Neoplasm of uncertain behavior of the parotid salivary glands
cancer		D37.031	Neoplasm of uncertain behavior of the sublingual salivary glands
cancer		D37.032	Neoplasm of uncertain behavior of the submandibular salivary glands
cancer		D37.039	Neoplasm of uncertain behavior of the major salivary glands, unspecified
cancer		D37.04	Neoplasm of uncertain behavior of the minor salivary glands
cancer		D37.05	Neoplasm of uncertain behavior of pharynx
cancer		D37.09	Neoplasm of uncertain behavior of other specified sites of the oral cavity
cancer		D37.1	Neoplasm of uncertain behavior of stomach
cancer		D37.2	Neoplasm of uncertain behavior of small intestine
cancer		D37.3	Neoplasm of uncertain behavior of appendix
cancer		D37.4	Neoplasm of uncertain behavior of colon
cancer		D37.5	Neoplasm of uncertain behavior of rectum
cancer		D37.6	Neoplasm of uncertain behavior of liver, gallbladder and bile ducts
cancer		D37.8	Neoplasm of uncertain behavior of other specified digestive organs
cancer		D37.9	Neoplasm of uncertain behavior of digestive organ, unspecified
cancer		D38.0	Neoplasm of uncertain behavior of larynx
cancer		D38.1	Neoplasm of uncertain behavior of trachea, bronchus and lung
cancer		D38.2	Neoplasm of uncertain behavior of pleura
cancer		D38.3	Neoplasm of uncertain behavior of mediastinum
cancer		D38.4	Neoplasm of uncertain behavior of thymus
cancer		D38.5	Neoplasm of uncertain behavior of other respiratory organs
cancer		D38.6	Neoplasm of uncertain behavior of respiratory organ, unspecified
cancer		D39.0	Neoplasm of uncertain behavior of uterus
cancer		D39.10	Neoplasm of uncertain behavior of unspecified ovary
cancer		D39.11	Neoplasm of uncertain behavior of right ovary
cancer		D39.12	Neoplasm of uncertain behavior of left ovary
cancer		D39.2	Neoplasm of uncertain behavior of placenta
cancer		D39.8	Neoplasm of uncertain behavior of other specified female genital organs
cancer		D39.9	Neoplasm of uncertain behavior of female genital organ, unspecified
cancer		D40.0	Neoplasm of uncertain behavior of prostate
cancer		D40.10	Neoplasm of uncertain behavior of unspecified testis
cancer		D40.11	Neoplasm of uncertain behavior of right testis
cancer		D40.12	Neoplasm of uncertain behavior of left testis
cancer		D40.8	Neoplasm of uncertain behavior of other specified male genital organs
cancer		D40.9	Neoplasm of uncertain behavior of male genital organ, unspecified
cancer		D41.00	Neoplasm of uncertain behavior of unspecified kidney
cancer		D41.01	Neoplasm of uncertain behavior of right kidney
cancer		D41.02	Neoplasm of uncertain behavior of left kidney
cancer		D41.10	Neoplasm of uncertain behavior of unspecified renal pelvis
cancer		D41.11	Neoplasm of uncertain behavior of right renal pelvis
cancer		D41.12	Neoplasm of uncertain behavior of left renal pelvis
cancer		D41.20	Neoplasm of uncertain behavior of unspecified ureter
cancer		D41.21	Neoplasm of uncertain behavior of right ureter
cancer		D41.22	Neoplasm of uncertain behavior of left ureter
cancer		D41.3	Neoplasm of uncertain behavior of urethra
cancer		D41.4	Neoplasm of uncertain behavior of bladder
cancer		D41.8	Neoplasm of uncertain behavior of other specified urinary organs
cancer		D41.9	Neoplasm of uncertain behavior of unspecified urinary organ
cancer		D42.0	Neoplasm of uncertain behavior of cerebral meninges
cancer		D42.1	Neoplasm of uncertain behavior of spinal meninges
cancer		D42.9	Neoplasm of uncertain behavior of meninges, unspecified
cancer		D43.0	Neoplasm of uncertain behavior of brain, supratentorial
cancer		D43.1	Neoplasm of uncertain behavior of brain, infratentorial
cancer		D43.2	Neoplasm of uncertain behavior of brain, unspecified
cancer		D43.3	Neoplasm of uncertain behavior of cranial nerves
cancer		D43.4	Neoplasm of uncertain behavior of spinal cord
cancer		D43.8	Neoplasm of uncertain behavior of other specified parts of central nervous system
cancer		D43.9	Neoplasm of uncertain behavior of central nervous system, unspecified
cancer		D44.0	Neoplasm of uncertain behavior of thyroid gland
cancer		D44.10	Neoplasm of uncertain behavior of unspecified adrenal gland
cancer		D44.11	Neoplasm of uncertain behavior of right adrenal gland
cancer		D44.12	Neoplasm of uncertain behavior of left adrenal gland
cancer		D44.2	Neoplasm of uncertain behavior of parathyroid gland
cancer		D44.3	Neoplasm of uncertain behavior of pituitary gland
cancer		D44.4	Neoplasm of uncertain behavior of craniopharyngeal duct
cancer		D44.5	Neoplasm of uncertain behavior of pineal gland
cancer		D44.6	Neoplasm of uncertain behavior of carotid body
cancer		D44.7	Neoplasm of uncertain behavior of aortic body and other paraganglia
cancer		D44.9	Neoplasm of uncertain behavior of unspecified endocrine gland
cancer		D45.	Polycythemia vera
cancer		D46.0	Refractory anemia without ring sideroblasts, so stated
cancer		D46.1	Refractory anemia with ring sideroblasts
cancer		D46.20	Refractory anemia with excess of blasts, unspecified
cancer		D46.21	Refractory anemia with excess of blasts 1
cancer		D46.22	Refractory anemia with excess of blasts 2
cancer		D46.4	Refractory anemia, unspecified
cancer		D46.9	Myelodysplastic syndrome, unspecified
cancer		D46.A	Refractory cytopenia with multilineage dysplasia
cancer		D46.B	Refractory cytopenia with multilineage dysplasia and ring sideroblasts
cancer		D46.C	Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality
cancer		D46.Z	Other myelodysplastic syndromes
cancer		D47.01	Cutaneous mastocytosis
cancer		D47.02	Systemic mastocytosis
cancer		D47.09	Other mast cell neoplasms of uncertain behavior
cancer		D47.1	Chronic myeloproliferative disease
cancer		D47.2	Monoclonal gammopathy
cancer		D47.3	Essential (hemorrhagic) thrombocythemia
cancer		D47.4	Osteomyelofibrosis
cancer		D47.9	Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified
cancer		D47.Z1	Post-transplant lymphoproliferative disorder (PTLD)
cancer		D47.Z2	Castleman disease
cancer		D47.Z9	Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue
cancer		D48.0	Neoplasm of uncertain behavior of bone and articular cartilage
cancer		D48.1	Neoplasm of uncertain behavior of connective and other soft tissue
cancer		D48.2	Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system
cancer		D48.3	Neoplasm of uncertain behavior of retroperitoneum
cancer		D48.4	Neoplasm of uncertain behavior of peritoneum
cancer		D48.60	Neoplasm of uncertain behavior of unspecified breast
cancer		D48.61	Neoplasm of uncertain behavior of right breast
cancer		D48.62	Neoplasm of uncertain behavior of left breast
cancer		D48.7	Neoplasm of uncertain behavior of other specified sites
cancer		D48.9	Neoplasm of uncertain behavior, unspecified
cancer		D49.0	Neoplasm of unspecified behavior of digestive system
cancer		D49.1	Neoplasm of unspecified behavior of respiratory system
cancer		D49.3	Neoplasm of unspecified behavior of breast
cancer		D49.4	Neoplasm of unspecified behavior of bladder
cancer		D49.511	Neoplasm of unspecified behavior of right kidney
cancer		D49.512	Neoplasm of unspecified behavior of left kidney
cancer		D49.519	Neoplasm of unspecified behavior of unspecified kidney
cancer		D49.59	Neoplasm of unspecified behavior of other genitourinary organ
cancer		D49.6	Neoplasm of unspecified behavior of brain
cancer		D49.7	Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
cancer		D49.81	Neoplasm of unspecified behavior of retina and choroid
cancer		D49.89	Neoplasm of unspecified behavior of other specified sites
cancer		D49.9	Neoplasm of unspecified behavior of unspecified site
cancer		D61.810	Antineoplastic chemotherapy induced pancytopenia
cancer		D63.0	Anemia in neoplastic disease
cancer		D64.81	Anemia due to antineoplastic chemotherapy
cancer		D70.1	Agranulocytosis secondary to cancer chemotherapy
cancer		E31.22	Multiple endocrine neoplasia [MEN] type IIA
cancer		E31.23	Multiple endocrine neoplasia [MEN] type IIB
cancer		E88.3	Tumor lysis syndrome
cancer		G13.1	Other systemic atrophy primarily affecting central nervous system in neoplastic disease
cancer		G73.1	Lambert-Eaton syndrome in neoplastic disease
cancer		G89.3	Neoplasm related pain (acute) (chronic)
cancer		H47.42	Disorders of optic chiasm in (due to) neoplasm
cancer		H47.521	Disorders of visual pathways in (due to) neoplasm, right side
cancer		H47.522	Disorders of visual pathways in (due to) neoplasm, left side
cancer		H47.529	Disorders of visual pathways in (due to) neoplasm, unspecified side
cancer		H47.631	Disorders of visual cortex in (due to) neoplasm, right side of brain
cancer		H47.632	Disorders of visual cortex in (due to) neoplasm, left side of brain
cancer		H47.639	Disorders of visual cortex in (due to) neoplasm, unspecified side of brain
cancer		J91.0	Malignant pleural effusion
cancer		K12.31	Oral mucositis (ulcerative) due to antineoplastic therapy
