idx	Organ_system	ICDCode	ICDCodeDescription
884	cancer	C83.37	Diffuse large B-cell lymphoma, spleen
885	cancer	C83.38	Diffuse large B-cell lymphoma, lymph nodes of multiple sites
886	cancer	C83.39	Diffuse large B-cell lymphoma, extranodal and solid organ sites
887	cancer	C83.50	Lymphoblastic (diffuse) lymphoma, unspecified site
888	cancer	C83.51	Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck
889	cancer	C83.52	Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes
890	cancer	C83.53	Lymphoblastic (diffuse) lymphoma, intra-abdominal lymph nodes
891	cancer	C83.54	Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb
892	cancer	C83.55	Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb
893	cancer	C83.56	Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes
894	cancer	C83.57	Lymphoblastic (diffuse) lymphoma, spleen
895	cancer	C83.58	Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites
896	cancer	C83.59	Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites
897	cancer	C83.70	Burkitt lymphoma, unspecified site
898	cancer	C83.71	Burkitt lymphoma, lymph nodes of head, face, and neck
899	cancer	C83.72	Burkitt lymphoma, intrathoracic lymph nodes
900	cancer	C83.73	Burkitt lymphoma, intra-abdominal lymph nodes
901	cancer	C83.74	Burkitt lymphoma, lymph nodes of axilla and upper limb
902	cancer	C83.75	Burkitt lymphoma, lymph nodes of inguinal region and lower limb
903	cancer	C83.76	Burkitt lymphoma, intrapelvic lymph nodes
904	cancer	C83.77	Burkitt lymphoma, spleen
905	cancer	C83.78	Burkitt lymphoma, lymph nodes of multiple sites
906	cancer	C83.79	Burkitt lymphoma, extranodal and solid organ sites
907	cancer	C83.80	Other non-follicular lymphoma, unspecified site
908	cancer	C83.81	Other non-follicular lymphoma, lymph nodes of head, face, and neck
909	cancer	C83.82	Other non-follicular lymphoma, intrathoracic lymph nodes
910	cancer	C83.83	Other non-follicular lymphoma, intra-abdominal lymph nodes
911	cancer	C83.84	Other non-follicular lymphoma, lymph nodes of axilla and upper limb
912	cancer	C83.85	Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb
913	cancer	C83.86	Other non-follicular lymphoma, intrapelvic lymph nodes
914	cancer	C83.87	Other non-follicular lymphoma, spleen
915	cancer	C83.88	Other non-follicular lymphoma, lymph nodes of multiple sites
916	cancer	C83.89	Other non-follicular lymphoma, extranodal and solid organ sites
917	cancer	C83.90	Non-follicular (diffuse) lymphoma, unspecified, unspecified site
918	cancer	C83.91	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck
919	cancer	C83.92	Non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes
920	cancer	C83.93	Non-follicular (diffuse) lymphoma, unspecified, intra-abdominal lymph nodes
921	cancer	C83.94	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb
922	cancer	C83.95	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb
923	cancer	C83.96	Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes
924	cancer	C83.97	Non-follicular (diffuse) lymphoma, unspecified, spleen
925	cancer	C83.98	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites
926	cancer	C83.99	Non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites
927	cancer	C84.00	Mycosis fungoides, unspecified site
928	cancer	C84.01	Mycosis fungoides, lymph nodes of head, face, and neck
929	cancer	C84.02	Mycosis fungoides, intrathoracic lymph nodes
930	cancer	C84.03	Mycosis fungoides, intra-abdominal lymph nodes
931	cancer	C84.04	Mycosis fungoides, lymph nodes of axilla and upper limb
932	cancer	C84.05	Mycosis fungoides, lymph nodes of inguinal region and lower limb
933	cancer	C84.06	Mycosis fungoides, intrapelvic lymph nodes
934	cancer	C84.07	Mycosis fungoides, spleen
935	cancer	C84.08	Mycosis fungoides, lymph nodes of multiple sites
936	cancer	C84.09	Mycosis fungoides, extranodal and solid organ sites
937	cancer	C84.10	Sezary disease, unspecified site
938	cancer	C84.11	Sezary disease, lymph nodes of head, face, and neck
939	cancer	C84.12	Sezary disease, intrathoracic lymph nodes
940	cancer	C84.13	Sezary disease, intra-abdominal lymph nodes
941	cancer	C84.14	Sezary disease, lymph nodes of axilla and upper limb
942	cancer	C84.15	Sezary disease, lymph nodes of inguinal region and lower limb
943	cancer	C84.16	Sezary disease, intrapelvic lymph nodes
944	cancer	C84.17	Sezary disease, spleen
945	cancer	C84.18	Sezary disease, lymph nodes of multiple sites
946	cancer	C84.19	Sezary disease, extranodal and solid organ sites
947	cancer	C84.40	Peripheral T-cell lymphoma, not classified, unspecified site
948	cancer	C84.41	Peripheral T-cell lymphoma, not classified, lymph nodes of head, face, and neck
949	cancer	C84.42	Peripheral T-cell lymphoma, not classified, intrathoracic lymph nodes
950	cancer	C84.43	Peripheral T-cell lymphoma, not classified, intra-abdominal lymph nodes
951	cancer	C84.44	Peripheral T-cell lymphoma, not classified, lymph nodes of axilla and upper limb
952	cancer	C84.45	Peripheral T-cell lymphoma, not classified, lymph nodes of inguinal region and lower limb
953	cancer	C84.46	Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes
954	cancer	C84.47	Peripheral T-cell lymphoma, not classified, spleen
955	cancer	C84.48	Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites
956	cancer	C84.49	Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites
957	cancer	C84.60	Anaplastic large cell lymphoma, ALK-positive, unspecified site
958	cancer	C84.61	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck
959	cancer	C84.62	Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes
960	cancer	C84.63	Anaplastic large cell lymphoma, ALK-positive, intra-abdominal lymph nodes
961	cancer	C84.64	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb
962	cancer	C84.65	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb
963	cancer	C84.66	Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes
964	cancer	C84.67	Anaplastic large cell lymphoma, ALK-positive, spleen
965	cancer	C84.68	Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites
966	cancer	C84.69	Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites
967	cancer	C84.70	Anaplastic large cell lymphoma, ALK-negative, unspecified site
968	cancer	C84.71	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck
969	cancer	C84.72	Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes
970	cancer	C84.73	Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes
971	cancer	C84.74	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb
972	cancer	C84.75	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of inguinal region and lower limb
973	cancer	C84.76	Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes
974	cancer	C84.77	Anaplastic large cell lymphoma, ALK-negative, spleen
975	cancer	C84.78	Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites
976	cancer	C84.79	Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites
977	cancer	C84.90	Mature T/NK-cell lymphomas, unspecified, unspecified site
978	cancer	C84.91	Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck
979	cancer	C84.92	Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes
980	cancer	C84.93	Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes
981	cancer	C84.94	Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb
982	cancer	C84.95	Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb
983	cancer	C84.97	Mature T/NK-cell lymphomas, unspecified, spleen
984	cancer	C84.98	Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites
985	cancer	C84.99	Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites
986	cancer	C84.A0	Cutaneous T-cell lymphoma, unspecified, unspecified site
987	cancer	C84.A1	Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck
988	cancer	C84.A2	Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes
989	cancer	C84.A3	Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes
990	cancer	C84.A4	Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb
991	cancer	C84.A5	Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb
992	cancer	C84.A6	Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes
993	cancer	C84.A7	Cutaneous T-cell lymphoma, unspecified, spleen
994	cancer	C84.A8	Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites
995	cancer	C84.A9	Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites
996	cancer	C84.Z0	Other mature T/NK-cell lymphomas, unspecified site
997	cancer	C84.Z1	Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck
998	cancer	C84.Z2	Other mature T/NK-cell lymphomas, intrathoracic lymph nodes
999	cancer	C84.Z3	Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes
1000	cancer	C84.Z4	Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb
1001	cancer	C84.Z5	Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb
1002	cancer	C84.Z7	Other mature T/NK-cell lymphomas, spleen
1003	cancer	C84.Z8	Other mature T/NK-cell lymphomas, lymph nodes of multiple sites
1004	cancer	C84.Z9	Other mature T/NK-cell lymphomas, extranodal and solid organ sites
1005	cancer	C85.10	Unspecified B-cell lymphoma, unspecified site
1006	cancer	C85.11	Unspecified B-cell lymphoma, lymph nodes of head, face, and neck
1007	cancer	C85.12	Unspecified B-cell lymphoma, intrathoracic lymph nodes
1008	cancer	C85.13	Unspecified B-cell lymphoma, intra-abdominal lymph nodes
1009	cancer	C85.14	Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb
1010	cancer	C85.15	Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb
1011	cancer	C85.16	Unspecified B-cell lymphoma, intrapelvic lymph nodes
1012	cancer	C85.17	Unspecified B-cell lymphoma, spleen
1013	cancer	C85.18	Unspecified B-cell lymphoma, lymph nodes of multiple sites
1014	cancer	C85.19	Unspecified B-cell lymphoma, extranodal and solid organ sites
1015	cancer	C85.20	Mediastinal (thymic) large B-cell lymphoma, unspecified site
1016	cancer	C85.21	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck
1017	cancer	C85.22	Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes
1018	cancer	C85.23	Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes
1019	cancer	C85.24	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb
1020	cancer	C85.25	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb
1021	cancer	C85.26	Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes
1022	cancer	C85.27	Mediastinal (thymic) large B-cell lymphoma, spleen
1023	cancer	C85.28	Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites
1024	cancer	C85.29	Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites
1025	cancer	C85.80	Other specified types of non-Hodgkin lymphoma, unspecified site
1026	cancer	C85.81	Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck
1027	cancer	C85.82	Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes
1028	cancer	C85.83	Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes
1029	cancer	C85.84	Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb
1030	cancer	C85.85	Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb
1031	cancer	C85.86	Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes
1032	cancer	C85.87	Other specified types of non-Hodgkin lymphoma, spleen
1033	cancer	C85.88	Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites
1034	cancer	C85.89	Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites
1035	cancer	C85.90	Non-Hodgkin lymphoma, unspecified, unspecified site
1036	cancer	C85.91	Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck
1037	cancer	C85.92	Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes
1038	cancer	C85.93	Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes
1039	cancer	C85.94	Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb
1040	cancer	C85.95	Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb
1041	cancer	C85.96	Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes
1042	cancer	C85.97	Non-Hodgkin lymphoma, unspecified, spleen
1043	cancer	C85.98	Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites
1044	cancer	C85.99	Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites
1045	cancer	C86.0	Extranodal NK/T-cell lymphoma, nasal type
1046	cancer	C86.1	Hepatosplenic T-cell lymphoma
1047	cancer	C86.2	Enteropathy-type (intestinal) T-cell lymphoma
1048	cancer	C86.3	Subcutaneous panniculitis-like T-cell lymphoma
1049	cancer	C86.4	Blastic NK-cell lymphoma
1050	cancer	C86.5	Angioimmunoblastic T-cell lymphoma
1051	cancer	C86.6	Primary cutaneous CD30-positive T-cell proliferations
1052	cancer	C88.0	Waldenstrom macroglobulinemia
1053	cancer	C88.2	Heavy chain disease
1054	cancer	C88.3	Immunoproliferative small intestinal disease
1055	cancer	C88.4	Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
1056	cancer	C88.8	Other malignant immunoproliferative diseases
1057	cancer	C88.9	Malignant immunoproliferative disease, unspecified
1058	cancer	C90.00	Multiple myeloma not having achieved remission
1059	cancer	C90.01	Multiple myeloma in remission
1060	cancer	C90.02	Multiple myeloma in relapse
1061	cancer	C90.10	Plasma cell leukemia not having achieved remission
1062	cancer	C90.11	Plasma cell leukemia in remission
1063	cancer	C90.12	Plasma cell leukemia in relapse
1064	cancer	C90.20	Extramedullary plasmacytoma not having achieved remission
1065	cancer	C90.21	Extramedullary plasmacytoma in remission
1066	cancer	C90.22	Extramedullary plasmacytoma in relapse
1067	cancer	C90.30	Solitary plasmacytoma not having achieved remission
1068	cancer	C90.31	Solitary plasmacytoma in remission
1069	cancer	C90.32	Solitary plasmacytoma in relapse
1070	cancer	C91.00	Acute lymphoblastic leukemia not having achieved remission
1071	cancer	C91.01	Acute lymphoblastic leukemia, in remission
1072	cancer	C91.02	Acute lymphoblastic leukemia, in relapse
1073	cancer	C91.10	Chronic lymphocytic leukemia of B-cell type not having achieved remission
1074	cancer	C91.11	Chronic lymphocytic leukemia of B-cell type in remission
1075	cancer	C91.12	Chronic lymphocytic leukemia of B-cell type in relapse
1076	cancer	C91.30	Prolymphocytic leukemia of B-cell type not having achieved remission
1077	cancer	C91.31	Prolymphocytic leukemia of B-cell type, in remission
1078	cancer	C91.32	Prolymphocytic leukemia of B-cell type, in relapse
1079	cancer	C91.40	Hairy cell leukemia not having achieved remission
1080	cancer	C91.41	Hairy cell leukemia, in remission
1081	cancer	C91.42	Hairy cell leukemia, in relapse
1082	cancer	C91.50	Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission
1083	cancer	C91.51	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission
1084	cancer	C91.52	Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse
1085	cancer	C91.60	Prolymphocytic leukemia of T-cell type not having achieved remission
1086	cancer	C91.61	Prolymphocytic leukemia of T-cell type, in remission
1087	cancer	C91.62	Prolymphocytic leukemia of T-cell type, in relapse
1088	cancer	C91.90	Lymphoid leukemia, unspecified not having achieved remission
1089	cancer	C91.91	Lymphoid leukemia, unspecified, in remission
1090	cancer	C91.92	Lymphoid leukemia, unspecified, in relapse
1091	cancer	C91.A0	Mature B-cell leukemia Burkitt-type not having achieved remission
1092	cancer	C91.A1	Mature B-cell leukemia Burkitt-type, in remission
1093	cancer	C91.A2	Mature B-cell leukemia Burkitt-type, in relapse
1094	cancer	C91.Z0	Other lymphoid leukemia not having achieved remission
1095	cancer	C91.Z1	Other lymphoid leukemia, in remission
1096	cancer	C91.Z2	Other lymphoid leukemia, in relapse
1097	cancer	C92.00	Acute myeloblastic leukemia, not having achieved remission
1098	cancer	C92.01	Acute myeloblastic leukemia, in remission
1099	cancer	C92.02	Acute myeloblastic leukemia, in relapse
1100	cancer	C92.10	Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission
1101	cancer	C92.11	Chronic myeloid leukemia, BCR/ABL-positive, in remission
1102	cancer	C92.12	Chronic myeloid leukemia, BCR/ABL-positive, in relapse
1103	cancer	C92.20	Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission
1104	cancer	C92.21	Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission
1105	cancer	C92.22	Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse
1106	cancer	C92.30	Myeloid sarcoma, not having achieved remission
1107	cancer	C92.31	Myeloid sarcoma, in remission
1108	cancer	C92.32	Myeloid sarcoma, in relapse
1109	cancer	C92.40	Acute promyelocytic leukemia, not having achieved remission
1110	cancer	C92.41	Acute promyelocytic leukemia, in remission
1111	cancer	C92.42	Acute promyelocytic leukemia, in relapse
1112	cancer	C92.50	Acute myelomonocytic leukemia, not having achieved remission
1113	cancer	C92.51	Acute myelomonocytic leukemia, in remission
1114	cancer	C92.52	Acute myelomonocytic leukemia, in relapse
1115	cancer	C92.60	Acute myeloid leukemia with 11q23-abnormality not having achieved remission
1116	cancer	C92.61	Acute myeloid leukemia with 11q23-abnormality in remission
1117	cancer	C92.62	Acute myeloid leukemia with 11q23-abnormality in relapse
1118	cancer	C92.90	Myeloid leukemia, unspecified, not having achieved remission
1119	cancer	C92.91	Myeloid leukemia, unspecified in remission
1120	cancer	C92.92	Myeloid leukemia, unspecified in relapse
1121	cancer	C92.A0	Acute myeloid leukemia with multilineage dysplasia, not having achieved remission
1122	cancer	C92.A1	Acute myeloid leukemia with multilineage dysplasia, in remission
1123	cancer	C92.A2	Acute myeloid leukemia with multilineage dysplasia, in relapse
1124	cancer	C92.Z0	Other myeloid leukemia not having achieved remission
1125	cancer	C92.Z1	Other myeloid leukemia, in remission
1126	cancer	C92.Z2	Other myeloid leukemia, in relapse
1127	cancer	C93.00	Acute monoblastic/monocytic leukemia, not having achieved remission
1128	cancer	C93.01	Acute monoblastic/monocytic leukemia, in remission
1129	cancer	C93.02	Acute monoblastic/monocytic leukemia, in relapse
1130	cancer	C93.10	Chronic myelomonocytic leukemia not having achieved remission
1131	cancer	C93.11	Chronic myelomonocytic leukemia, in remission
1132	cancer	C93.12	Chronic myelomonocytic leukemia, in relapse
1133	cancer	C93.30	Juvenile myelomonocytic leukemia, not having achieved remission
1134	cancer	C93.31	Juvenile myelomonocytic leukemia, in remission
1135	cancer	C93.90	Monocytic leukemia, unspecified, not having achieved remission
1136	cancer	C93.91	Monocytic leukemia, unspecified in remission
1137	cancer	C93.92	Monocytic leukemia, unspecified in relapse
1138	cancer	C93.Z0	Other monocytic leukemia, not having achieved remission
1139	cancer	C93.Z1	Other monocytic leukemia, in remission
1140	cancer	C93.Z2	Other monocytic leukemia, in relapse
1141	cancer	C94.00	Acute erythroid leukemia, not having achieved remission
1142	cancer	C94.01	Acute erythroid leukemia, in remission
1143	cancer	C94.02	Acute erythroid leukemia, in relapse
1144	cancer	C94.20	Acute megakaryoblastic leukemia not having achieved remission
1145	cancer	C94.21	Acute megakaryoblastic leukemia, in remission
1146	cancer	C94.22	Acute megakaryoblastic leukemia, in relapse
1147	cancer	C94.30	Mast cell leukemia not having achieved remission
1148	cancer	C94.31	Mast cell leukemia, in remission
1149	cancer	C94.32	Mast cell leukemia, in relapse
1150	cancer	C94.40	Acute panmyelosis with myelofibrosis not having achieved remission
1151	cancer	C94.41	Acute panmyelosis with myelofibrosis, in remission
1152	cancer	C94.42	Acute panmyelosis with myelofibrosis, in relapse
1153	cancer	C94.6	Myelodysplastic disease, not classified
1154	cancer	C94.80	Other specified leukemias not having achieved remission
1155	cancer	C94.81	Other specified leukemias, in remission
1156	cancer	C94.82	Other specified leukemias, in relapse
1157	cancer	C95.00	Acute leukemia of unspecified cell type not having achieved remission
1158	cancer	C95.01	Acute leukemia of unspecified cell type, in remission
1159	cancer	C95.02	Acute leukemia of unspecified cell type, in relapse
1160	cancer	C95.10	Chronic leukemia of unspecified cell type not having achieved remission
1161	cancer	C95.11	Chronic leukemia of unspecified cell type, in remission
1162	cancer	C95.12	Chronic leukemia of unspecified cell type, in relapse
1163	cancer	C95.90	Leukemia, unspecified not having achieved remission
1164	cancer	C95.91	Leukemia, unspecified, in remission
1165	cancer	C95.92	Leukemia, unspecified, in relapse
1166	cancer	C96.0	Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis
1167	cancer	C96.20	Malignant mast cell neoplasm, unspecified
1168	cancer	C96.21	Aggressive systemic mastocytosis
1169	cancer	C96.22	Mast cell sarcoma
1170	cancer	C96.29	Other malignant mast cell neoplasm
1171	cancer	C96.4	Sarcoma of dendritic cells (accessory cells)
1172	cancer	C96.5	Multifocal and unisystemic Langerhans-cell histiocytosis
1173	cancer	C96.6	Unifocal Langerhans-cell histiocytosis
1174	cancer	C96.9	Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified
1175	cancer	C96.A	Histiocytic sarcoma
1176	cancer	C96.Z	Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue
1177	cancer	D00.00	Carcinoma in situ of oral cavity, unspecified site
1178	cancer	D00.01	Carcinoma in situ of labial mucosa and vermilion border
1179	cancer	D00.02	Carcinoma in situ of buccal mucosa
1180	cancer	D00.03	Carcinoma in situ of gingiva and edentulous alveolar ridge
1181	cancer	D00.04	Carcinoma in situ of soft palate
1182	cancer	D00.05	Carcinoma in situ of hard palate
1183	cancer	D00.06	Carcinoma in situ of floor of mouth
1184	cancer	D00.07	Carcinoma in situ of tongue
1185	cancer	D00.08	Carcinoma in situ of pharynx
1186	cancer	D00.1	Carcinoma in situ of esophagus
1187	cancer	D00.2	Carcinoma in situ of stomach
1188	cancer	D01.0	Carcinoma in situ of colon
1189	cancer	D01.1	Carcinoma in situ of rectosigmoid junction
1190	cancer	D01.2	Carcinoma in situ of rectum
1191	cancer	D01.3	Carcinoma in situ of anus and anal canal
1192	cancer	D01.40	Carcinoma in situ of unspecified part of intestine
1193	cancer	D01.49	Carcinoma in situ of other parts of intestine
1194	cancer	D01.5	Carcinoma in situ of liver, gallbladder and bile ducts
1195	cancer	D01.7	Carcinoma in situ of other specified digestive organs
1196	cancer	D01.9	Carcinoma in situ of digestive organ, unspecified
1197	cancer	D02.0	Carcinoma in situ of larynx
1198	cancer	D02.1	Carcinoma in situ of trachea
1199	cancer	D02.20	Carcinoma in situ of unspecified bronchus and lung
1200	cancer	D02.21	Carcinoma in situ of right bronchus and lung
1201	cancer	D02.22	Carcinoma in situ of left bronchus and lung
1202	cancer	D02.3	Carcinoma in situ of other parts of respiratory system
1203	cancer	D02.4	Carcinoma in situ of respiratory system, unspecified
1204	cancer	D05.00	Lobular carcinoma in situ of unspecified breast
1205	cancer	D05.01	Lobular carcinoma in situ of right breast
1206	cancer	D05.02	Lobular carcinoma in situ of left breast
1207	cancer	D05.10	Intraductal carcinoma in situ of unspecified breast
1208	cancer	D05.11	Intraductal carcinoma in situ of right breast
1209	cancer	D05.12	Intraductal carcinoma in situ of left breast
1210	cancer	D05.80	Other specified type of carcinoma in situ of unspecified breast
1211	cancer	D05.81	Other specified type of carcinoma in situ of right breast
1212	cancer	D05.82	Other specified type of carcinoma in situ of left breast
1213	cancer	D05.90	Unspecified type of carcinoma in situ of unspecified breast
1214	cancer	D05.91	Unspecified type of carcinoma in situ of right breast
1215	cancer	D05.92	Unspecified type of carcinoma in situ of left breast
1216	cancer	D06.0	Carcinoma in situ of endocervix
1217	cancer	D06.1	Carcinoma in situ of exocervix
1218	cancer	D06.7	Carcinoma in situ of other parts of cervix
1219	cancer	D06.9	Carcinoma in situ of cervix, unspecified
1220	cancer	D07.0	Carcinoma in situ of endometrium
1221	cancer	D07.1	Carcinoma in situ of vulva
1222	cancer	D07.2	Carcinoma in situ of vagina
1223	cancer	D07.30	Carcinoma in situ of unspecified female genital organs
1224	cancer	D07.39	Carcinoma in situ of other female genital organs
1225	cancer	D07.4	Carcinoma in situ of penis
1226	cancer	D07.5	Carcinoma in situ of prostate
1227	cancer	D07.60	Carcinoma in situ of unspecified male genital organs
1228	cancer	D07.61	Carcinoma in situ of scrotum
1229	cancer	D07.69	Carcinoma in situ of other male genital organs
1230	cancer	D09.0	Carcinoma in situ of bladder
1231	cancer	D09.10	Carcinoma in situ of unspecified urinary organ
1232	cancer	D09.19	Carcinoma in situ of other urinary organs
1233	cancer	D09.20	Carcinoma in situ of unspecified eye
1234	cancer	D09.21	Carcinoma in situ of right eye
1235	cancer	D09.22	Carcinoma in situ of left eye
1236	cancer	D09.3	Carcinoma in situ of thyroid and other endocrine glands
1237	cancer	D09.8	Carcinoma in situ of other specified sites
1238	cancer	D09.9	Carcinoma in situ, unspecified
1239	cancer	D37.01	Neoplasm of uncertain behavior of lip
1240	cancer	D37.02	Neoplasm of uncertain behavior of tongue
1241	cancer	D37.030	Neoplasm of uncertain behavior of the parotid salivary glands
1242	cancer	D37.031	Neoplasm of uncertain behavior of the sublingual salivary glands
1243	cancer	D37.032	Neoplasm of uncertain behavior of the submandibular salivary glands
1244	cancer	D37.039	Neoplasm of uncertain behavior of the major salivary glands, unspecified
1245	cancer	D37.04	Neoplasm of uncertain behavior of the minor salivary glands
1246	cancer	D37.05	Neoplasm of uncertain behavior of pharynx
1247	cancer	D37.09	Neoplasm of uncertain behavior of other specified sites of the oral cavity
1248	cancer	D37.1	Neoplasm of uncertain behavior of stomach
1249	cancer	D37.2	Neoplasm of uncertain behavior of small intestine
1250	cancer	D37.3	Neoplasm of uncertain behavior of appendix
1251	cancer	D37.4	Neoplasm of uncertain behavior of colon
1252	cancer	D37.5	Neoplasm of uncertain behavior of rectum
1253	cancer	D37.6	Neoplasm of uncertain behavior of liver, gallbladder and bile ducts
1254	cancer	D37.8	Neoplasm of uncertain behavior of other specified digestive organs
1255	cancer	D37.9	Neoplasm of uncertain behavior of digestive organ, unspecified
1256	cancer	D38.0	Neoplasm of uncertain behavior of larynx
1257	cancer	D38.1	Neoplasm of uncertain behavior of trachea, bronchus and lung
1258	cancer	D38.2	Neoplasm of uncertain behavior of pleura
1259	cancer	D38.3	Neoplasm of uncertain behavior of mediastinum
1260	cancer	D38.4	Neoplasm of uncertain behavior of thymus
1261	cancer	D38.5	Neoplasm of uncertain behavior of other respiratory organs
1262	cancer	D38.6	Neoplasm of uncertain behavior of respiratory organ, unspecified
1263	cancer	D39.0	Neoplasm of uncertain behavior of uterus
1264	cancer	D39.10	Neoplasm of uncertain behavior of unspecified ovary
1265	cancer	D39.11	Neoplasm of uncertain behavior of right ovary
1266	cancer	D39.12	Neoplasm of uncertain behavior of left ovary
1267	cancer	D39.2	Neoplasm of uncertain behavior of placenta
1268	cancer	D39.8	Neoplasm of uncertain behavior of other specified female genital organs
1269	cancer	D39.9	Neoplasm of uncertain behavior of female genital organ, unspecified
